Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.78     0.00   302598     0.00     0.00  PIMAddrManager::addrGenSafe(unsigned int, unsigned int, unsigned int, unsigned int, unsigned int&, unsigned int&)
  0.00      1.78     0.00   266240     0.00     0.00  DRAMSim::Bank::write(DRAMSim::BusPacket const*)
  0.00      1.78     0.00   266240     0.00     0.00  DRAMSim::PIMRank::doPIMBlock(DRAMSim::BusPacket*, DRAMSim::PIMCmd, int)
  0.00      1.78     0.00   266240     0.00     0.00  std::_Sp_counted_ptr_inplace<DRAMSim::Bank::_DataStruct, std::allocator<DRAMSim::Bank::_DataStruct>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00      1.78     0.00   266240     0.00     0.00  std::_Sp_counted_ptr_inplace<DRAMSim::Bank::_DataStruct, std::allocator<DRAMSim::Bank::_DataStruct>, (__gnu_cxx::_Lock_policy)2>::_M_get_deleter(std::type_info const&)
  0.00      1.78     0.00   262272     0.00     0.00  DRAMSim::MemorySystem::addTransaction(bool, unsigned long, DRAMSim::BurstType*)
  0.00      1.78     0.00   262272     0.00     0.00  DRAMSim::MultiChannelMemorySystem::addTransaction(bool, unsigned long, DRAMSim::BurstType*)
  0.00      1.78     0.00   262144     0.00     0.00  DRAMSim::PIMRank::writeOpd(int, DRAMSim::BurstType&, DRAMSim::PIMOpdType, DRAMSim::BusPacket*, int, bool, bool)
  0.00      1.78     0.00    96640     0.00     0.00  DRAMSim::CommandQueue::update()
  0.00      1.78     0.00    96064     0.00     0.00  DRAMSim::BankState::showState()
  0.00      1.78     0.00    96064     0.00     0.00  DRAMSim::BusPacket::BusPacket(DRAMSim::BusPacketType, unsigned long, unsigned int, unsigned int, unsigned int, unsigned int, DRAMSim::BurstType*, std::ostream&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      1.78     0.00    74752     0.00     0.00  DRAMSim::PIMCmd::fromInt(unsigned int)
